Platform,Year_of_Release,Genre,Publisher,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating,Decade,Franchise,Critic_Count_Log,User_Count_Log
3DS,2011,Action,LucasArts,1.13,67.0,25,6.1,31,Traveller's Tales,E10+,2010s,Other,3.258096538021482,3.4657359027997265
XB,2004,Shooter,Ubisoft,1.13,84.0,55,8.6,14,Ubisoft Montreal,M,2000s,Other,4.02535169073515,2.70805020110221
PS3,2008,Platform,Electronic Arts,1.13,79.0,66,7.8,362,EA DICE,T,2000s,Other,4.204692619390966,5.8944028342648505
X360,2009,Misc,Activision,1.13,85.0,69,6.8,108,Neversoft Entertainment,T,2000s,Other,4.248495242049359,4.6913478822291435
PS4,2014,Shooter,Sega,1.13,79.0,50,8.1,795,Creative Assembly,M,2010s,Other,3.9318256327243257,6.679599185844383
3DS,2012,Role-Playing,Nintendo,1.13,73.0,51,8.6,209,"Level 5, Brownie Brown",E10+,2010s,Other,3.9512437185814275,5.3471075307174685
PS3,2007,Misc,Sony Computer Entertainment,1.13,82.0,48,5.9,15,SCEE London Studio,T,2000s,Other,3.8918202981106265,2.772588722239781
3DS,2015,Action,Nintendo,1.12,73.0,73,7.6,179,Nintendo,E,2010s,Zelda,4.304065093204169,5.19295685089021
PS2,2001,Racing,Activision,1.12,57.0,15,7.6,9,Exakt,E,2000s,Other,2.772588722239781,2.302585092994046
Wii,2009,Platform,Ubisoft,1.12,78.0,50,8.3,32,Ubisoft Montpellier,E10+,2000s,Other,3.9318256327243257,3.4965075614664802
PS3,2010,Racing,Sony Computer Entertainment,1.12,82.0,85,8.4,201,United Front Games,E,2010s,Other,4.454347296253507,5.308267697401205
PSP,2005,Shooter,Sony Computer Entertainment,1.12,82.0,44,8.6,63,Zipper Interactive,M,2000s,Other,3.8066624897703196,4.1588830833596715
PS3,2011,Misc,Ubisoft,1.12,80.0,27,8.3,52,Ubisoft,T,2010s,Other,3.332204510175204,3.970291913552122
XB,2005,Shooter,Activision,1.12,78.0,46,5.1,27,Treyarch,T,2000s,Call of Duty,3.8501476017100584,3.332204510175204
X360,2011,Misc,Ubisoft,1.12,77.0,30,8.2,62,Ubisoft,T,2010s,Other,3.4339872044851463,4.143134726391533
PS2,2009,Misc,Activision,1.12,71.0,4,2.6,10,BudCat,T,2000s,Other,1.6094379124341003,2.3978952727983707
PC,2007,Sports,Russel,1.12,86.0,15,8.0,19,Sports Interactive,E,2000s,Other,2.772588722239781,2.995732273553991
PS3,2009,Action,Sega,1.12,79.0,77,8.1,165,Ryu ga Gotoku Studios,M,2000s,Other,4.356708826689592,5.111987788356544
PSV,2012,Role-Playing,Atlus,1.12,93.0,61,9.2,1228,Atlus,M,2010s,Other,4.127134385045092,7.113956109566034
XB,2004,Action,Activision,1.12,83.0,60,8.3,40,Treyarch,T,2000s,Other,4.110873864173311,3.713572066704308
X360,2010,Shooter,Microsoft Game Studios,1.12,70.0,91,6.0,202,Ruffian Games,M,2010s,Other,4.5217885770490405,5.313205979041787
PS3,2009,Misc,MTV Games,1.12,88.0,60,8.7,59,Harmonix Music Systems,T,2000s,Other,4.110873864173311,4.0943445622221
X360,2011,Action,Electronic Arts,1.11,79.0,75,4.5,2380,BioWare,M,2010s,Other,4.330733340286331,7.7752758464868625
XB,2003,Shooter,Microsoft Game Studios,1.11,74.0,38,7.6,51,Valve Software,M,2000s,Other,3.6635616461296463,3.9512437185814275
PS2,2007,Misc,RedOctane,1.11,69.0,50,6.3,31,Harmonix Music Systems,T,2000s,Other,3.9318256327243257,3.4657359027997265
PS3,2011,Fighting,Electronic Arts,1.11,84.0,52,7.3,95,EA Canada,M,2010s,Other,3.970291913552122,4.564348191467836
XB,2005,Action,Ubisoft,1.11,94.0,70,9.0,160,Ubisoft Montreal,M,2000s,Other,4.2626798770413155,5.081404364984463
WiiU,2013,Strategy,Nintendo,1.11,87.0,79,8.7,664,Nintendo,E10+,2010s,Other,4.382026634673881,6.499787040655854
X360,2013,Sports,Take-Two Interactive,1.11,75.0,43,7.7,100,Yuke's,T,2010s,Other,3.784189633918261,4.61512051684126
PS4,2015,Fighting,Namco Bandai Games,1.11,69.0,50,7.7,598,Dimps Corporation,T,2010s,Other,3.9318256327243257,6.395261598115449
PS3,2010,Action,Konami Digital Entertainment,1.1,85.0,62,8.0,468,Mercury Steam,M,2010s,Other,4.143134726391533,6.150602768446279
DS,2011,Strategy,Mastertronic,1.1,81.0,23,7.4,29,TOSE,E10+,2010s,Other,3.1780538303479458,3.4011973816621555
PS2,2001,Sports,Electronic Arts,1.1,74.0,18,7.5,27,EA Sports,E,2000s,Other,2.9444389791664403,3.332204510175204
PS2,2006,Misc,Sony Computer Entertainment,1.1,76.0,25,7.5,27,SCEE London Studio,T,2000s,Other,3.258096538021482,3.332204510175204
GC,2003,Role-Playing,Nintendo,1.1,86.0,60,8.5,176,Namco,T,2000s,Other,4.110873864173311,5.176149732573829
WiiU,2013,Platform,Nintendo,1.1,80.0,66,8.2,283,TT Games,E10+,2010s,Other,4.204692619390966,5.648974238161206
Wii,2007,Racing,Electronic Arts,1.1,61.0,16,6.9,14,EA Games,E10+,2000s,Other,2.833213344056216,2.70805020110221
PS3,2008,Racing,Codemasters,1.1,87.0,39,8.1,109,Codemasters,E,2000s,Other,3.6888794541139363,4.700480365792417
X360,2007,Shooter,Electronic Arts,1.1,73.0,54,6.7,77,Electronic Arts,T,2000s,Other,4.007333185232471,4.356708826689592
PS,1998,Role-Playing,Sony Computer Entertainment,1.1,80.0,13,8.5,44,Tri-Ace,E,1990s,Other,2.639057329615259,3.8066624897703196
X360,2013,Sports,Electronic Arts,1.09,77.0,18,5.8,74,EA Tiburon,E,2010s,Other,2.9444389791664403,4.31748811353631
PS2,2006,Adventure,Sega,1.09,77.0,34,8.1,52,Amusement Vision,M,2000s,Other,3.5553480614894135,3.970291913552122
PS3,2009,Misc,Activision,1.09,86.0,54,5.7,87,Neversoft Entertainment,T,2000s,Other,4.007333185232471,4.477336814478207
GBA,2003,Role-Playing,Atari,1.09,75.0,21,8.9,39,Webfoot Technologies,E,2000s,Other,3.091042453358316,3.6888794541139363
Wii,2008,Shooter,Electronic Arts,1.09,66.0,13,4.4,7,"EA Redwood Shores, EA Salt Lake",E10+,2000s,Other,2.639057329615259,2.0794415416798357
DC,2000,Sports,Sega,1.09,97.0,22,6.0,47,Visual Concepts,E,2000s,Other,3.1354942159291497,3.8712010109078907
PSP,2005,Role-Playing,Activision,1.09,68.0,51,7.6,58,Sony Online Entertainment,T,2000s,Other,3.9512437185814275,4.07753744390572
PS4,2015,Racing,Slightly Mad Studios,1.09,83.0,37,6.6,363,Slightly Mad Studios,E,2010s,Other,3.6375861597263857,5.8971538676367405
XB,2003,Sports,Electronic Arts,1.09,92.0,27,8.3,48,EA Tiburon,E,2000s,Madden,3.332204510175204,3.8918202981106265
Wii,2009,Platform,Sega,1.09,54.0,51,6.9,198,Sonic Team,E10+,2000s,Other,3.9512437185814275,5.293304824724492
PS2,2006,Action,Electronic Arts,1.09,75.0,56,8.3,99,Electronic Arts,M,2000s,Other,4.04305126783455,4.605170185988092
X360,2010,Racing,Sega,1.09,47.0,52,2.1,98,Sega,E,2010s,Other,3.970291913552122,4.59511985013459
PS2,2002,Shooter,LucasArts,1.09,65.0,32,8.3,33,LucasArts,T,2000s,Other,3.4965075614664802,3.5263605246161616
PS3,2010,Fighting,THQ,1.09,74.0,42,6.9,41,Yuke's,T,2010s,Other,3.7612001156935624,3.7376696182833684
DS,2011,Action,LucasArts,1.09,66.0,8,7.5,27,Traveller's Tales,E,2010s,Other,2.1972245773362196,3.332204510175204
X360,2012,Action,Electronic Arts,1.09,76.0,20,5.5,65,EA Tiburon,E,2010s,Other,3.044522437723423,4.189654742026425
X360,2009,Sports,Electronic Arts,1.09,84.0,70,8.0,72,EA Black Box,T,2000s,Other,4.2626798770413155,4.290459441148391
PS2,2003,Racing,Electronic Arts,1.08,88.0,15,8.9,77,EA Tiburon,E,2000s,Other,2.772588722239781,4.356708826689592
PSP,2005,Misc,Sony Computer Entertainment,1.08,73.0,28,7.2,9,TOSE,E10+,2000s,Other,3.367295829986474,2.302585092994046
PC,2009,Strategy,Sega,1.08,90.0,62,6.9,2981,Creative Assembly,T,2000s,Other,4.143134726391533,8.000349495324684
PS3,2007,Fighting,Sega,1.08,85.0,47,7.4,67,Sega AM2,T,2000s,Other,3.8712010109078907,4.219507705176107
PS3,2010,Action,Electronic Arts,1.08,75.0,69,7.5,265,Visceral Games,M,2010s,Other,4.248495242049359,5.583496308781699
PS2,2004,Shooter,Ubisoft,1.08,58.0,21,6.0,19,Ubisoft Shanghai/Paris,T,2000s,Other,3.091042453358316,2.995732273553991
XOne,2016,Racing,Microsoft Game Studios,1.08,91.0,90,7.4,594,Playground Games,E,2010s,Other,4.51085950651685,6.38856140554563
PSP,2008,Action,LucasArts,1.08,70.0,10,8.1,49,Krome Studios,T,2000s,Other,2.3978952727983707,3.912023005428146
GBA,2003,Fighting,Atari,1.08,40.0,23,6.1,22,Webfoot Technologies,T,2000s,Other,3.1780538303479458,3.1354942159291497
GC,2005,Shooter,Nintendo,1.08,67.0,59,8.1,106,Namco,T,2000s,Other,4.0943445622221,4.672828834461906
X360,2014,Shooter,Electronic Arts,1.08,69.0,6,7.3,121,PopCap,E10+,2010s,Other,1.9459101490553132,4.804021044733257
PSP,2007,Action,Electronic Arts,1.07,59.0,7,6.7,15,"Electronic Arts, Rebellion",T,2000s,Other,2.0794415416798357,2.772588722239781
DS,2006,Action,LucasArts,1.07,47.0,9,5.0,38,Amaze Entertainment,E,2000s,Other,2.302585092994046,3.6635616461296463
PS2,2006,Shooter,Activision,1.07,82.0,14,7.4,83,Treyarch,T,2000s,Call of Duty,2.70805020110221,4.430816798843313
Wii,2010,Sports,Electronic Arts,1.07,73.0,17,7.3,8,EA Sports,E,2010s,FIFA,2.8903717578961645,2.1972245773362196
PS3,2008,Action,Ubisoft,1.07,85.0,59,7.3,245,Ubisoft Montreal,T,2000s,Other,4.0943445622221,5.5053315359323625
X360,2008,Action,Eidos Interactive,1.07,76.0,57,6.6,198,Crystal Dynamics,T,2000s,Other,4.060443010546419,5.293304824724492
X360,2007,Sports,Konami Digital Entertainment,1.07,76.0,29,7.8,36,Konami,E,2000s,Other,3.4011973816621555,3.6109179126442243
PS2,2005,Fighting,Namco Bandai Games,1.07,86.0,57,8.4,96,Namco,T,2000s,Other,4.060443010546419,4.574710978503383
Wii,2009,Sports,Electronic Arts,1.07,88.0,44,8.8,57,EA Tiburon,E,2000s,Other,3.8066624897703196,4.060443010546419
DS,2009,Adventure,Electronic Arts,1.07,60.0,5,7.5,27,TOSE,E,2000s,Other,1.791759469228055,3.332204510175204
PSP,2005,Sports,Sony Computer Entertainment,1.07,70.0,31,5.6,5,SCEE,E,2000s,Other,3.4657359027997265,1.791759469228055
PS3,2008,Fighting,Namco Bandai Games,1.07,75.0,32,8.6,95,CyberConnect2,T,2000s,Other,3.4965075614664802,4.564348191467836
PS3,2013,Role-Playing,Square Enix,1.07,66.0,62,5.9,552,Square Enix,T,2010s,Final Fantasy,4.143134726391533,6.315358001522335
PS2,2006,Fighting,Midway Games,1.06,75.0,43,8.5,84,Midway,M,2000s,Other,3.784189633918261,4.442651256490317
PS2,2002,Racing,Electronic Arts,1.06,81.0,25,7.3,14,Page 44 Studios,E,2000s,Other,3.258096538021482,2.70805020110221
PSP,2009,Action,Take-Two Interactive,1.06,90.0,77,7.3,146,Rockstar Leeds,M,2000s,Grand Theft Auto,4.356708826689592,4.990432586778736
DS,2008,Simulation,Electronic Arts,1.06,65.0,20,6.5,21,Griptonite Games,E,2000s,Other,3.044522437723423,3.091042453358316
PS3,2007,Shooter,Electronic Arts,1.06,89.0,21,8.4,188,EA Games,M,2000s,Other,3.091042453358316,5.241747015059643
X360,2009,Misc,Activision,1.06,84.0,72,8.0,42,FreeStyleGames,T,2000s,Other,4.290459441148391,3.7612001156935624
X360,2008,Action,Take-Two Interactive,1.06,80.0,56,8.3,154,"Mad Doc Software, Rockstar Vancouver",T,2000s,Other,4.04305126783455,5.043425116919247
PS2,2005,Sports,Electronic Arts,1.06,89.0,36,8.7,37,EA Canada,E,2000s,Other,3.6109179126442243,3.6375861597263857
PS2,2003,Action,Universal Interactive,1.06,71.0,28,8.3,22,Radical Entertainment,T,2000s,Other,3.367295829986474,3.1354942159291497
XOne,2016,Shooter,Activision,1.06,91.0,18,5.6,668,Blizzard Entertainment,T,2010s,Other,2.9444389791664403,6.505784060128229
X360,2010,Shooter,Sega,1.06,64.0,64,7.3,247,Rebellion,M,2010s,Other,4.174387269895637,5.5134287461649825
PS3,2012,Action,Activision,1.06,77.0,21,6.3,18,Toys for Bob,E10+,2010s,Other,3.091042453358316,2.9444389791664403
PC,2001,Role-Playing,Vivendi Games,1.06,87.0,21,9.1,639,Blizzard North,M,2000s,Other,3.091042453358316,6.461468176353717
Wii,2007,Adventure,Nintendo,1.06,72.0,42,8.1,61,Arika,E,2000s,Other,3.7612001156935624,4.127134385045092
GBA,2004,Action,Activision,1.06,65.0,12,7.7,6,Digital Eclipse,E,2000s,Other,2.5649493574615367,1.9459101490553132
PS2,2002,Racing,Play It,1.06,63.0,9,8.8,10,Barnhouse Effect,T,2000s,Other,2.302585092994046,2.3978952727983707
X360,2010,Action,THQ,1.06,83.0,81,7.9,292,Vigil Games,M,2010s,Other,4.406719247264253,5.680172609017068
X360,2008,Shooter,Electronic Arts,1.06,72.0,69,7.2,152,Pandemic Studios,T,2000s,Other,4.248495242049359,5.030437921392435
PS3,2007,Simulation,Sony Computer Entertainment,1.06,84.0,50,8.4,183,Incognito Inc.,T,2000s,Other,3.9318256327243257,5.214935757608986
PS3,2011,Racing,Codemasters,1.06,87.0,52,7.1,122,Codemasters,T,2010s,Other,3.970291913552122,4.812184355372417
Wii,2008,Sports,Sega,1.05,71.0,24,7.0,16,Sumo Digital,E10+,2000s,Other,3.2188758248682006,2.833213344056216
PS3,2007,Racing,Codemasters,1.05,83.0,32,8.0,32,Codemasters,E,2000s,Other,3.4965075614664802,3.4965075614664802
DS,2007,Shooter,Activision,1.05,75.0,22,6.9,36,n-Space,T,2000s,Call of Duty,3.1354942159291497,3.6109179126442243
Wii,2009,Action,Capcom,1.05,75.0,55,8.0,60,Cavia Inc.,M,2000s,Other,4.02535169073515,4.110873864173311
PSP,2006,Shooter,Sony Computer Entertainment,1.05,81.0,31,9.0,36,Zipper Interactive,T,2000s,Other,3.4657359027997265,3.6109179126442243
DS,2007,Platform,Take-Two Interactive,1.05,44.0,5,7.5,27,Black Lantern Studios,E,2000s,Other,1.791759469228055,3.332204510175204
PS2,2002,Sports,Sega,1.05,89.0,21,8.0,22,Visual Concepts,E,2000s,Other,3.091042453358316,3.1354942159291497
PS3,2012,Action,Warner Bros. Interactive Entertainment,1.05,82.0,16,8.3,85,TT Games,E10+,2010s,Other,2.833213344056216,4.454347296253507
XB,2001,Racing,Electronic Arts,1.05,61.0,17,8.3,6,Fox Interactive,T,2000s,Other,2.8903717578961645,1.9459101490553132
PS,2000,Sports,Acclaim Entertainment,1.05,82.0,14,8.4,5,"Z-Axis, Ltd.",E,2000s,Other,2.70805020110221,1.791759469228055
PS4,2014,Sports,Electronic Arts,1.05,70.0,57,6.1,279,EA Sports,T,2010s,Other,4.060443010546419,5.634789603169249
XB,2005,Racing,Microsoft Game Studios,1.05,92.0,73,7.6,213,Microsoft Game Studios,E,2000s,Other,4.304065093204169,5.365976015021851
PS3,2007,Sports,Sega,1.05,80.0,35,7.9,32,Sega AM3,E,2000s,Other,3.58351893845611,3.4965075614664802
PS,1998,Simulation,Sony Computer Entertainment,1.05,83.0,6,7.5,27,Tecmo,E,1990s,Other,1.9459101490553132,3.332204510175204
PS2,2003,Sports,Electronic Arts,1.04,81.0,22,8.9,17,EA Sports,E,2000s,Other,3.1354942159291497,2.8903717578961645
X360,2009,Fighting,THQ,1.04,80.0,59,8.4,36,Yuke's,T,2000s,Other,4.0943445622221,3.6109179126442243
PS3,2012,Action,Square Enix,1.04,83.0,40,7.7,645,United Front Games,M,2010s,Other,3.713572066704308,6.470799503782602
PS,2000,Racing,Acclaim Entertainment,1.04,42.0,9,7.5,27,Climax Group,E,2000s,Other,2.302585092994046,3.332204510175204
GC,2003,Fighting,Nintendo,1.04,74.0,22,8.9,39,8ing/Raizing,T,2000s,Other,3.1354942159291497,3.6888794541139363
PS2,2006,Simulation,Konami Digital Entertainment,1.04,73.0,25,8.7,6,Konami,E10+,2000s,Other,3.258096538021482,1.9459101490553132
PS3,2010,Shooter,Sega,1.04,65.0,57,7.3,168,Rebellion,M,2010s,Other,4.060443010546419,5.1298987149230735
GBA,2001,Racing,Nintendo,1.04,86.0,19,8.5,22,Nd Cube,E,2000s,Other,2.995732273553991,3.1354942159291497
X360,2006,Platform,Sega,1.04,46.0,38,4.4,455,Sega,E10+,2000s,Other,3.6635616461296463,6.1224928095143865
XB,2005,Racing,Electronic Arts,1.04,83.0,32,8.8,29,EA Canada,T,2000s,Other,3.4965075614664802,3.4011973816621555
X360,2007,Action,Electronic Arts,1.03,71.0,52,7.7,71,"Electronic Arts, EA Redwood Shores",T,2000s,Other,3.970291913552122,4.276666119016055
PS3,2012,Racing,Codemasters,1.03,81.0,23,7.5,54,Codemasters,E,2010s,Other,3.1780538303479458,4.007333185232471
X360,2011,Shooter,Bethesda Softworks,1.03,68.0,85,5.8,404,Splash Damage,T,2010s,Other,4.454347296253507,6.003887067106539
PS2,2005,Racing,THQ,1.03,79.0,30,8.4,17,Rainbow Studios,E,2000s,Other,3.4339872044851463,2.8903717578961645
PSP,2005,Racing,Sony Computer Entertainment,1.03,88.0,56,7.9,102,Studio Liverpool,E,2000s,Other,4.04305126783455,4.634728988229636
PS3,2012,Action,THQ,1.03,86.0,30,7.4,92,Yuke's,T,2010s,Other,3.4339872044851463,4.532599493153256
X360,2011,Action,Disney Interactive Studios,1.03,73.0,54,7.0,31,Traveller's Tales,E10+,2010s,Other,4.007333185232471,3.4657359027997265
PS3,2007,Shooter,Ubisoft,1.03,84.0,29,8.1,41,"Red Storm Entertainment, Ubisoft Paris",T,2000s,Other,3.4011973816621555,3.7376696182833684
DS,2005,Platform,Nintendo,1.03,75.0,48,7.6,33,TOSE,E,2000s,Other,3.8918202981106265,3.5263605246161616
Wii,2008,Action,Warner Bros. Interactive Entertainment,1.03,67.0,12,7.0,8,TT Fusion,E10+,2000s,Other,2.5649493574615367,2.1972245773362196
PS2,2003,Sports,Electronic Arts,1.03,82.0,16,8.8,12,NuFX,E,2000s,Other,2.833213344056216,2.5649493574615367
WiiU,2016,Action,Nintendo,1.03,86.0,74,8.4,329,"Tantalus Interactive, Tantatus, Nintendo",T,2010s,Zelda,4.31748811353631,5.799092654460526
PS3,2008,Action,Activision,1.03,77.0,36,7.7,30,Traveller's Tales,E10+,2000s,Other,3.6109179126442243,3.4339872044851463
PC,1996,Action,Eidos Interactive,1.03,86.0,18,8.5,3552,"Crystal Dynamics, Nixxes Software",M,1990s,Other,2.9444389791664403,8.175547596021026
PS,1998,Fighting,Virgin Interactive,1.03,93.0,12,8.5,46,Capcom,T,1990s,Other,2.5649493574615367,3.8501476017100584
Wii,2009,Adventure,Electronic Arts,1.03,78.0,28,8.6,28,Electronic Arts,E,2000s,Other,3.367295829986474,3.367295829986474
PSP,2009,Racing,Sony Computer Entertainment,1.02,79.0,58,8.8,39,Bigbig Studios,T,2000s,Other,4.07753744390572,3.6888794541139363
Wii,2007,Sports,Electronic Arts,1.02,65.0,13,6.1,26,EA Canada,E,2000s,FIFA,2.639057329615259,3.295836866004329
Wii,2007,Sports,Electronic Arts,1.02,72.0,24,7.0,22,EA Salt Lake,E,2000s,Other,3.2188758248682006,3.1354942159291497
Wii,2007,Fighting,Atari,1.02,72.0,27,8.4,61,"Spike, Namco Bandai Games",T,2000s,Other,3.332204510175204,4.127134385045092
GC,2004,Platform,Activision,1.02,70.0,25,6.4,14,"Luxoflux, Inc.",E,2000s,Other,3.258096538021482,2.70805020110221
XOne,2016,Sports,Take-Two Interactive,1.02,90.0,17,6.2,91,Visual Concepts,E,2010s,Other,2.8903717578961645,4.5217885770490405
X360,2007,Shooter,Ubisoft,1.02,86.0,58,8.1,89,"Red Storm Entertainment, Ubisoft Paris",T,2000s,Other,4.07753744390572,4.499809670330265
PS3,2008,Platform,Sega,1.02,54.0,24,7.9,130,Sonic Team,E10+,2000s,Other,3.2188758248682006,4.875197323201151
Wii,2011,Action,Disney Interactive Studios,1.02,61.0,11,6.0,5,Eurocom Entertainment Software,E10+,2010s,Other,2.4849066497880004,1.791759469228055
Wii,2010,Misc,Ubisoft,1.02,48.0,6,3.3,4,Longtail Studios,E10+,2010s,Other,1.9459101490553132,1.6094379124341003
X360,2009,Action,Activision,1.02,71.0,41,7.4,25,Traveller's Tales,E10+,2000s,Other,3.7376696182833684,3.258096538021482
X360,2011,Shooter,Electronic Arts,1.02,84.0,83,7.6,439,"Epic Games, People Can Fly",M,2010s,Other,4.430816798843313,6.0867747269123065
PS3,2013,Platform,Activision,1.02,83.0,31,5.3,33,Vicarious Visions,E10+,2010s,Other,3.4657359027997265,3.5263605246161616
XB,2006,Sports,Electronic Arts,1.02,83.0,27,8.7,6,EA Tiburon,E,2000s,Madden,3.332204510175204,1.9459101490553132
3DS,2011,Platform,Sega,1.02,66.0,29,6.9,108,"Sega, Dimps Corporation",E,2010s,Other,3.4011973816621555,4.6913478822291435
Wii,2008,Misc,MTV Games,1.02,92.0,10,7.7,45,Harmonix Music Systems,T,2000s,Other,2.3978952727983707,3.828641396489095
PS2,2004,Action,Electronic Arts,1.02,70.0,29,8.7,29,EA Games,E,2000s,Other,3.4011973816621555,3.4011973816621555
DS,2012,Role-Playing,Nintendo,1.02,80.0,40,8.2,89,Koei,E,2010s,Pokemon,3.713572066704308,4.499809670330265
Wii,2008,Platform,THQ,1.01,51.0,18,3.6,8,Heavy Iron Studios,E,2000s,Other,2.9444389791664403,2.1972245773362196
Wii,2007,Fighting,Tomy Corporation,1.01,74.0,23,8.0,27,8ing/Raizing,T,2000s,Other,3.1780538303479458,3.332204510175204
X360,2007,Simulation,Atari,1.01,80.0,54,7.9,101,Project Aces,T,2000s,Other,4.007333185232471,4.624972813284271
Wii,2007,Action,Electronic Arts,1.01,64.0,19,6.1,38,"Electronic Arts, Rebellion",T,2000s,Other,2.995732273553991,3.6635616461296463
X360,2008,Action,Tecmo Koei,1.01,81.0,74,8.0,302,"Team Ninja, Tecmo",M,2000s,Other,4.31748811353631,5.713732805509369
X360,2014,Action,Ubisoft,1.01,72.0,32,7.3,318,Ubisoft,M,2010s,Other,3.4965075614664802,5.765191102784844
PS4,2014,Platform,Ubisoft,1.01,90.0,16,8.5,525,Ubisoft Montpellier,E10+,2010s,Other,2.833213344056216,6.26530121273771
X360,2008,Action,Ubisoft,1.01,81.0,73,7.0,189,Ubisoft Montreal,T,2000s,Other,4.304065093204169,5.247024072160486
PS,1997,Simulation,Tecmo Koei,1.01,86.0,5,8.3,10,Tecmo,Unknown,1990s,Other,1.791759469228055,2.3978952727983707
WiiU,2012,Action,Ubisoft,1.01,77.0,70,7.7,758,Ubisoft Montpellier,M,2010s,Other,4.2626798770413155,6.6320017773956295
WiiU,2016,Fighting,Namco Bandai Games,1.01,76.0,74,8.0,273,Bandai Namco Games,E10+,2010s,Other,4.31748811353631,5.6131281063880705
PS2,2003,Racing,Empire Interactive,1.0,51.0,5,8.0,8,Razorworks Studios,E,2000s,Other,1.791759469228055,2.1972245773362196
Wii,2009,Shooter,Electronic Arts,1.0,67.0,12,4.5,6,EA Salt Lake,E10+,2000s,Other,2.5649493574615367,1.9459101490553132
PSP,2010,Action,Sony Computer Entertainment,1.0,86.0,73,8.4,255,Ready at Dawn,M,2010s,Other,4.304065093204169,5.545177444479562
XB,2003,Fighting,Namco Bandai Games,1.0,92.0,39,8.9,54,Namco,T,2000s,Other,3.6888794541139363,4.007333185232471
PS,2000,Sports,Sony Computer Entertainment,1.0,73.0,10,7.5,27,989 Sports,E,2000s,Other,2.3978952727983707,3.332204510175204
PS2,2002,Action,Tecmo Koei,1.0,72.0,16,9.3,54,Omega Force,T,2000s,Other,2.833213344056216,4.007333185232471
PS3,2011,Platform,Ubisoft,1.0,87.0,43,8.4,238,UBlart Montpellier,E10+,2010s,Other,3.784189633918261,5.476463551931511
XB,2000,Sports,Microsoft Game Studios,0.99,79.0,24,8.5,10,Microsoft Game Studios,E,2000s,Other,3.2188758248682006,2.3978952727983707
X360,2013,Misc,Ubisoft,0.99,79.0,16,7.8,33,Ubisoft,E10+,2010s,Other,2.833213344056216,3.5263605246161616
X360,2011,Sports,Electronic Arts,0.99,82.0,25,6.6,49,EA Sports,E,2010s,Other,3.258096538021482,3.912023005428146
X360,2012,Action,THQ,0.99,85.0,60,7.6,88,Yuke's,T,2010s,Other,4.110873864173311,4.48863636973214
DS,2011,Platform,Nintendo,0.99,83.0,46,8.6,55,HAL Labs,E,2010s,Other,3.8501476017100584,4.02535169073515
PS3,2008,Shooter,Ubisoft,0.99,55.0,65,6.5,294,Free Radical Design,M,2000s,Other,4.189654742026425,5.68697535633982
PS,1998,Platform,GT Interactive,0.99,88.0,13,9.1,69,Oddworld Inhabitants,T,1990s,Other,2.639057329615259,4.248495242049359
PS2,2000,Action,Sony Computer Entertainment,0.99,66.0,20,8.0,35,DreamFactory,T,2000s,Other,3.044522437723423,3.58351893845611
PS3,2009,Racing,Codemasters,0.99,87.0,63,8.2,94,Codemasters,T,2000s,Other,4.1588830833596715,4.553876891600541
PS3,2008,Misc,Activision,0.99,70.0,39,5.0,26,Neversoft Entertainment,T,2000s,Other,3.6888794541139363,3.295836866004329
GC,2005,Platform,Sega,0.99,51.0,22,6.6,120,Sonic Team,E10+,2000s,Other,3.1354942159291497,4.795790545596741
PS3,2009,Simulation,Sony Computer Entertainment,0.99,70.0,35,8.2,20,SCEE London Studio,E,2000s,Other,3.58351893845611,3.044522437723423
DS,2007,Adventure,Capcom,0.99,78.0,48,8.1,84,Capcom,T,2000s,Other,3.8918202981106265,4.442651256490317
PSP,2006,Simulation,Namco Bandai Games,0.99,75.0,26,8.3,30,Project Aces,T,2000s,Other,3.295836866004329,3.4339872044851463
X360,2011,Role-Playing,Namco Bandai Games,0.99,89.0,66,8.4,1106,From Software,M,2010s,Other,4.204692619390966,7.009408932708637
Wii,2009,Racing,THQ,0.99,58.0,7,7.5,27,Incinerator Games,E,2000s,Other,2.0794415416798357,3.332204510175204
DS,2008,Puzzle,Ubisoft,0.99,71.0,5,7.5,27,Route 1 Games,E,2000s,Other,1.791759469228055,3.332204510175204
PSP,2008,Racing,Take-Two Interactive,0.98,79.0,26,8.7,43,Rockstar London,T,2000s,Other,3.295836866004329,3.784189633918261
PSP,2008,Sports,Konami Digital Entertainment,0.98,80.0,17,6.8,11,Konami,E,2000s,Other,2.8903717578961645,2.4849066497880004
Wii,2009,Sports,Electronic Arts,0.98,75.0,21,6.2,17,EA Sports,E,2000s,FIFA,3.091042453358316,2.8903717578961645
PS3,2010,Role-Playing,Namco Bandai Games,0.98,77.0,55,8.2,336,Namco Bandai Games,T,2010s,Other,4.02535169073515,5.820082930352362
PC,2008,Role-Playing,Bethesda Softworks,0.98,91.0,48,7.9,3450,Bethesda Game Studios,M,2000s,Other,3.8918202981106265,8.146419323098003
GBA,2005,Misc,Nintendo,0.98,54.0,27,5.4,34,Hudson,E,2000s,Mario,3.332204510175204,3.5553480614894135
DS,2005,Strategy,THQ,0.98,44.0,19,6.6,25,Altron,E,2000s,Other,2.995732273553991,3.258096538021482
