Platform,Year_of_Release,Genre,Publisher,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating,Decade,Franchise,Critic_Count_Log,User_Count_Log
X360,2013,Shooter,Activision,10.25,73.0,29,2.6,2117,Infinity Ward,M,2010s,Call of Duty,3.4011973816621555,7.658227526161352
Wii,2011,Misc,Ubisoft,10.12,74.0,15,7.8,16,Ubisoft,E10+,2010s,Other,2.772588722239781,2.833213344056216
3DS,2012,Platform,Nintendo,9.9,78.0,70,7.2,424,Nintendo,E,2010s,Mario,4.2626798770413155,6.052089168924417
X360,2010,Shooter,Microsoft Game Studios,9.86,91.0,99,7.9,2045,Bungie,M,2010s,Other,4.605170185988092,7.6236419465115715
PS,1997,Role-Playing,Sony Computer Entertainment,9.72,92.0,20,9.2,1282,SquareSoft,T,1990s,Final Fantasy,3.044522437723423,7.1569563646156364
X360,2012,Shooter,Microsoft Game Studios,9.71,87.0,87,7.0,3260,343 Industries,M,2010s,Other,4.477336814478207,8.089789175789319
PS,1999,Racing,Sony Computer Entertainment,9.49,93.0,23,9.0,135,Polyphony Digital,T,1990s,Other,3.1780538303479458,4.912654885736052
Wii,2010,Misc,Ubisoft,9.44,74.0,24,7.3,24,Ubisoft,E10+,2010s,Other,3.2188758248682006,3.2188758248682006
PS3,2013,Shooter,Activision,9.36,71.0,10,2.6,1047,Infinity Ward,M,2010s,Call of Duty,2.3978952727983707,6.954638864880987
X360,2007,Shooter,Activision,9.31,94.0,70,8.4,1320,Infinity Ward,M,2000s,Call of Duty,4.2626798770413155,7.186144304522325
3DS,2012,Simulation,Nintendo,9.16,88.0,70,8.7,626,Nintendo,E,2010s,Other,4.2626798770413155,6.440946540632921
DS,2007,Misc,Nintendo,8.91,72.0,27,7.8,85,Hudson Soft,E,2000s,Mario,3.332204510175204,4.454347296253507
X360,2011,Role-Playing,Bethesda Softworks,8.79,96.0,89,8.4,3589,Bethesda Game Studios,M,2010s,Other,4.499809670330265,8.185907481482324
PS4,2015,Sports,Electronic Arts,8.57,82.0,42,4.3,896,EA Sports,E,2010s,FIFA,3.7612001156935624,6.799055862058796
XB,2004,Shooter,Microsoft Game Studios,8.49,95.0,91,8.2,1218,Bungie Software,M,2000s,Other,4.5217885770490405,7.105786129481271
Wii,2010,Misc,Nintendo,8.38,68.0,42,7.4,54,Nd Cube,E,2010s,Other,3.7612001156935624,4.007333185232471
Wii,2007,Misc,Nintendo,8.27,62.0,41,6.3,190,Hudson,E,2000s,Mario,3.7376696182833684,5.25227342804663
PS3,2012,Action,Electronic Arts,8.16,88.0,37,6.6,348,Electronic Arts,E,2010s,FIFA,3.6375861597263857,5.855071922202427
PS2,2001,Role-Playing,Sony Computer Entertainment,8.05,92.0,53,8.7,1056,SquareSoft,T,2000s,Final Fantasy,3.9889840465642745,6.963189985870238
PC,2009,Simulation,Electronic Arts,8.01,86.0,75,7.6,886,The Sims Studio,T,2000s,Other,4.330733340286331,6.787844982309579
PS,1999,Role-Playing,SquareSoft,7.86,90.0,24,8.6,644,SquareSoft,T,1990s,Final Fantasy,3.2188758248682006,6.4692503167957724
DS,2008,Role-Playing,Nintendo,7.72,83.0,46,8.5,203,Game Freak,E,2000s,Pokémon,3.8501476017100584,5.318119993844216
PSP,2005,Action,Take-Two Interactive,7.69,88.0,65,7.6,451,Rockstar Leeds,M,2000s,Grand Theft Auto,4.189654742026425,6.113682179832232
PS4,2014,Shooter,Activision,7.66,83.0,39,5.7,1443,Sledgehammer Games,M,2010s,Call of Duty,3.6888794541139363,7.275172319452771
PS4,2016,Sports,Electronic Arts,7.59,85.0,41,5.0,398,"EA Sports, EA Vancouver",E,2010s,FIFA,3.7376696182833684,5.988961416889864
Wii,2010,Platform,Nintendo,7.51,97.0,87,9.1,1854,Nintendo EAD Tokyo,E,2010s,Mario,4.477336814478207,7.5256399750415355
X360,2008,Shooter,Activision,7.38,84.0,84,7.6,580,Treyarch,M,2000s,Call of Duty,4.442651256490317,6.364750756851911
X360,2011,Shooter,Electronic Arts,7.32,84.0,57,7.4,2142,EA DICE,M,2010s,Other,4.060443010546419,7.669961995473577
PS2,2003,Racing,Electronic Arts,7.2,85.0,33,8.6,171,EA Black Box,E,2000s,Other,3.5263605246161616,5.147494476813453
Wii,2009,Misc,Ubisoft,7.2,49.0,21,8.0,110,Ubisoft Paris,E10+,2000s,Other,3.091042453358316,4.709530201312334
PS3,2011,Shooter,Electronic Arts,7.17,85.0,38,7.5,1761,EA DICE,M,2010s,Other,3.6635616461296463,7.474204806496124
PS4,2015,Role-Playing,Bethesda Softworks,7.16,87.0,58,6.5,4228,Bethesda Game Studios,M,2010s,Other,4.07753744390572,8.34972083747249
PS,1998,Fighting,Sony Computer Entertainment,7.16,96.0,15,9.1,367,Namco,T,1990s,Other,2.772588722239781,5.908082938168931
Wii,2006,Action,Nintendo,7.15,95.0,73,9.0,1658,Nintendo,T,2000s,Zelda,4.304065093204169,7.413970290190444
PS,1998,Platform,Sony Computer Entertainment,7.13,91.0,12,8.9,432,Naughty Dog,E,1990s,Other,2.5649493574615367,6.07073772800249
