iter	Passed	Remaining
406	8951	2045
407	8959	2020
408	8989	2000
409	9010	1977
410	9028	1955
411	9057	1934
412	9082	1913
413	9093	1889
414	9124	1868
938	1830
415	8967	1810
416	8994	1790
417	9025	1770
418	9057	1751
419	9090	1731
420	9118	1711
421	9142	1689
422	9159	1667
423	9181	1645
424	9204	1624
425	9220	1601
426	9228	1577
427	9249	1555
428	9265	1533
429	9282	1511
430	9298	1488
431	9314	1466
432	9323	1442
433	9336	1419
434	9352	1397
435	9364	1374
436	9373	1351
437	9384	1328
438	9402	1306
439	9410	1283
440	9418	1260
8

440	9593	1283
441	9619	1262
442	9634	1239
443	9656	1217
444	9671	1195
445	9681	1172
446	9708	1151
447	9731	1129
448	9754	1107
449	9786	1087
450	9810	1065
451	9821	1042
452	9839	1020
453	9857	998
454	9873	976
455	9894	954
456	9909	932
457	9921	909
458	9965	890
459	9996	869
460	10022	847
461	10044	826
462	10062	804
463	10078	781
464	10105	760
465	10120	738
466	10142	716
467	10168	695
468	10180	672
469	10194	650
470	10204	628
471	10217	606
472	10227	583
473	10237	561
474	10245	539
475	10253	516
476	10261	494
477	10269	472
478	10276	450
479	10287	428
480	10298	406
481	10304	384
482	10312	362
483	10319	341
484	10325	319
485	10330	297
486	10335	275
487	10344	254
488	10360	233
