Platform,Year_of_Release,Genre,Publisher,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating,Decade,Franchise,Critic_Count_Log,User_Count_Log
X360,2007,Racing,THQ,70.0,43,7.1,17,Rainbow Studios,E,2000s,Other,3.784189633918261,2.8903717578961645
GBA,2005,Action,Nintendo,56.0,22,7.5,27,Koei,E,2000s,Other,3.1354942159291497,3.332204510175204
Wii,2008,Platform,Ignition Entertainment,35.0,10,4.0,6,Crave,E,2000s,Other,2.3978952727983707,1.9459101490553128
PS2,2005,Role-Playing,Square Enix,87.0,64,9.0,766,Square Enix,E10+,2000s,Other,4.174387269895637,6.642486801367256
X360,2010,Role-Playing,Square Enix,67.0,60,8.3,126,Cavia Inc.,M,2010s,Other,4.110873864173311,4.844187086458591
PS2,2004,Sports,Zoo Digital Publishing,59.0,6,8.7,32,Activision,E,2000s,Other,1.9459101490553128,3.49650756146648
PS2,2001,Role-Playing,Sony Computer Entertainment,92.0,53,8.7,1056,SquareSoft,T,2000s,Final Fantasy,3.9889840465642745,6.963189985870238
PS2,2008,Role-Playing,Atlus,79.0,23,8.7,26,Atlus Co.,M,2000s,Other,3.1780538303479458,3.295836866004329
PS3,2011,Action,Disney Interactive Studios,73.0,42,7.1,34,Traveller's Tales,E10+,2010s,Other,3.7612001156935615,3.555348061489413
3DS,2011,Sports,Namco Bandai Games,58.0,11,7.5,27,Indies Zero,E10+,2010s,Other,2.4849066497880004,3.332204510175204
PS2,2003,Action,Konami Digital Entertainment,85.0,41,8.8,315,KCET,M,2000s,Other,3.737669618283368,5.755742213586912
DS,2008,Role-Playing,Disney Interactive Studios,70.0,26,7.7,14,"Jupiter Corporation, Jupiter Multimedia",E10+,2000s,Other,3.295836866004329,2.70805020110221
