Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Rating,Total_Rating
20,1998,7,19,0.0,0.0,0.03,0.0,71.0,22.0,7.5,24.0,8,73.0
15,2006,9,12,0.03,0.03,0.0,0.01,67.0,30.0,8.9,11.0,2,78.0
7,2004,11,19,0.05,0.01,0.0,0.0,71.0,22.0,8.5,4.0,7,78.0
15,2000,6,19,0.04,0.03,0.0,0.01,67.0,10.0,7.4,7.0,1,70.5
18,2006,0,12,0.05,0.0,0.0,0.0,59.0,4.0,7.5,24.0,2,67.0
6,2002,6,19,0.18,0.07,0.0,0.0,49.0,7.0,7.5,24.0,1,62.0
18,2012,7,12,0.0,0.0,0.13,0.0,71.0,22.0,7.5,24.0,8,73.0
4,2009,5,19,0.09,0.0,0.0,0.01,71.0,22.0,7.5,24.0,1,73.0
7,2006,2,16,0.03,0.01,0.0,0.0,71.0,22.0,7.5,24.0,8,73.0
15,2008,1,19,0.0,0.0,0.01,0.0,71.0,22.0,7.5,24.0,8,73.0
15,2002,10,15,0.14,0.11,0.0,0.04,76.0,22.0,8.9,15.0,1,82.5
4,2005,8,10,0.1,0.0,0.0,0.01,58.0,25.0,7.5,18.0,7,66.5
15,2001,11,19,0.04,0.03,0.0,0.01,63.0,5.0,7.1,16.0,7,67.0
19,2013,10,10,0.08,0.23,0.01,0.09,71.0,22.0,1.8,69.0,1,44.5
27,2012,8,16,0.03,0.02,0.0,0.01,53.0,51.0,6.5,72.0,5,59.0
18,2006,10,2,0.41,0.07,0.0,0.07,68.0,11.0,7.6,14.0,7,72.0
14,1997,3,19,0.0,0.0,0.31,0.02,71.0,22.0,7.5,24.0,8,73.0
4,2010,3,19,0.0,0.0,0.03,0.0,71.0,22.0,7.5,24.0,8,73.0
16,2011,4,20,0.6,0.69,0.02,0.26,76.0,38.0,8.2,253.0,1,79.0
4,2010,6,26,0.04,0.0,0.0,0.0,71.0,22.0,7.5,24.0,1,73.0
4,2008,9,19,0.01,0.0,0.0,0.0,71.0,22.0,7.5,24.0,1,73.0
15,2006,7,0,0.14,0.11,0.0,0.04,71.0,26.0,7.5,22.0,7,73.0
28,2005,10,10,0.04,0.01,0.0,0.0,75.0,20.0,7.7,11.0,1,76.0
4,2007,3,8,0.1,0.0,0.0,0.01,71.0,22.0,7.5,24.0,1,73.0
26,2015,0,17,0.04,0.02,0.0,0.01,43.0,54.0,6.5,283.0,5,54.0
4,2010,5,19,0.05,0.01,0.0,0.01,71.0,22.0,7.5,24.0,7,73.0
12,2012,0,19,0.03,0.1,0.0,0.02,81.0,23.0,7.8,653.0,5,79.5
17,2015,0,26,0.0,0.03,0.0,0.01,69.0,44.0,6.4,83.0,7,66.5
6,2004,4,17,0.0,0.0,1.39,0.03,84.0,14.0,8.6,44.0,1,85.0
18,2006,5,8,0.12,0.12,0.0,0.07,71.0,22.0,7.5,24.0,8,73.0
4,2007,11,12,0.13,0.02,0.12,0.01,71.0,22.0,7.5,24.0,8,73.0
4,2006,7,20,0.17,0.0,0.33,0.02,69.0,27.0,8.2,21.0,1,75.5
25,2011,3,27,0.03,0.0,0.0,0.0,71.0,22.0,7.5,24.0,2,73.0
28,2004,10,10,0.44,0.13,0.0,0.02,90.0,31.0,8.5,19.0,1,87.5
14,1998,10,15,0.6,0.41,0.0,0.07,71.0,22.0,7.5,24.0,8,73.0
16,2011,0,23,0.86,1.04,0.18,0.38,82.0,50.0,7.7,384.0,5,79.5
25,2009,10,3,0.16,0.0,0.0,0.01,71.0,22.0,7.5,24.0,8,73.0
6,2004,0,17,0.89,0.22,0.22,0.1,89.0,56.0,9.0,203.0,1,89.5
29,2014,3,26,0.0,0.01,0.0,0.0,71.0,22.0,7.5,24.0,8,73.0
27,2011,8,19,0.0,0.02,0.0,0.0,71.0,22.0,7.5,24.0,8,73.0
4,2010,0,8,0.24,0.03,0.0,0.02,71.0,22.0,7.5,24.0,1,73.0
15,2002,11,19,0.0,0.0,0.65,0.0,71.0,22.0,7.5,24.0,8,73.0
2,2012,0,16,0.0,0.0,0.06,0.0,71.0,22.0,7.5,24.0,8,73.0
17,2015,0,10,0.18,0.25,0.0,0.08,61.0,33.0,3.7,78.0,1,49.0
29,2015,0,26,0.62,0.56,0.0,0.11,78.0,22.0,6.1,402.0,5,69.5
0,1986,8,3,0.35,0.02,0.0,0.0,71.0,22.0,7.5,24.0,8,73.0
25,2008,10,19,0.33,0.0,0.0,0.03,71.0,22.0,7.5,24.0,7,73.0
15,2002,7,23,0.1,0.08,0.0,0.03,76.0,20.0,8.3,22.0,7,79.5
18,2006,9,19,0.08,0.03,0.03,0.02,67.0,22.0,7.8,23.0,1,72.5
15,2005,4,12,0.05,0.04,0.0,0.01,54.0,17.0,4.0,5.0,1,47.0
25,2011,1,26,0.08,0.04,0.0,0.01,71.0,22.0,7.5,24.0,7,73.0
25,2007,5,19,0.05,0.0,0.0,0.0,71.0,22.0,1.1,8.0,1,41.0
16,2010,10,2,0.07,0.0,0.0,0.01,61.0,4.0,7.5,24.0,1,68.0
18,2009,10,12,0.09,0.33,0.2,0.18,72.0,9.0,4.6,5.0,1,59.0
25,2011,10,13,1.51,1.03,0.0,0.27,71.0,22.0,7.5,24.0,7,73.0
17,2014,0,25,0.06,0.07,0.03,0.03,63.0,30.0,7.5,42.0,7,69.0
15,2006,7,25,0.0,0.0,0.04,0.0,71.0,22.0,7.5,24.0,8,73.0
0,1982,0,3,0.13,0.01,0.0,0.0,71.0,22.0,7.5,24.0,8,73.0
14,1996,8,19,0.02,0.01,0.0,0.0,71.0,22.0,7.5,24.0,8,73.0
15,2002,10,1,0.07,0.06,0.0,0.02,54.0,14.0,4.6,17.0,5,50.0
6,2001,4,19,0.1,0.04,0.0,0.0,71.0,22.0,7.5,24.0,8,73.0
25,2009,5,19,0.01,0.0,0.0,0.0,75.0,13.0,8.5,6.0,1,80.0
